100	26569.68	15241.88	125574	36280	19490	18815	28	15100	43964.43
200	26569.68	16348.56	55684	15887	11615	10569	21	10843	43964.43
300	26569.68	16694.3	34761	9604	9384	8675	19	7602	43964.43
400	26569.68	16908.98	22957	6061	7761	7483	19	4296	43964.43
500	26569.68	17006.93	16879	4490	7095	7000	19	3299	43964.43
600	26569.68	17069.78	12632	3424	6726	6544	19	3152	43964.43
700	26569.68	17117.3	9407	2600	6440	6268	19	3011	43964.43
800	26569.68	17149.12	7388	2165	6173	6005	19	2813	43964.43
900	26569.68	17177.45	5703	1682	5981	5792	17	2555	43964.43
1000	26569.68	17199.78	4589	1405	5785	5653	17	2048	43964.43
1100	26569.68	17217.13	3601	1147	5655	5492	17	1850	43964.43
1200	26569.68	17229.34	2983	867	5566	5353	17	1755	43964.43
1300	26569.68	17238.96	2464	751	5463	5268	17	1616	43964.43
1400	26569.68	17247.11	2136	691	5202	5192	17	1526	43964.43
1500	26569.68	17252.9	1914	621	5135	5123	17	1375	43964.43
1600	26569.68	17260.33	1550	512	5064	5062	17	1237	43964.43
1700	26569.68	17265.02	1373	449	5009	4997	17	1128	43964.43
1800	26569.68	17269.57	1195	410	4957	4918	17	1021	43964.43
1900	26569.68	17272.81	1087	375	4912	4854	17	949	43964.43
2000	26569.68	17275.65	990	363	4860	4792	17	888	43964.43
2100	26569.68	17277.99	952	340	4822	4748	17	797	43964.43
2200	26569.68	17279.99	890	329	4777	4706	17	757	43964.43
2300	26569.68	17282.22	807	316	4733	4673	17	707	43964.43
2400	26569.68	17283.81	751	309	4695	4640	17	682	43964.43
2500	26569.68	17285.59	713	296	4653	4608	17	629	43964.43
2600	26569.68	17286.87	681	289	4624	4577	17	600	43964.43
2700	26569.68	17288.16	654	277	4588	4547	17	576	43964.43
2800	26569.68	17289.58	627	266	4547	4509	17	551	43964.43
2900	26569.68	17291.15	569	253	4504	4483	17	534	43964.43
3000	26569.68	17292.29	547	248	4469	4452	17	513	43964.43
3100	26569.68	17294.12	511	222	4433	4392	17	488	43964.43
3200	26569.68	17294.98	497	218	4393	4371	16	482	43964.43
3300	26569.68	17296.39	458	206	4368	4351	16	437	43964.43
3400	26569.68	17297.57	449	205	4329	4330	16	389	43964.43
3500	26569.68	17298.32	442	203	4302	4300	16	380	43964.43
3600	26569.68	17299.23	431	199	4273	4270	16	363	43964.43
3700	26569.68	17300.17	412	198	4247	4239	15	347	43964.43
3800	26569.68	17300.84	406	194	4218	4217	15	341	43964.43
3900	26569.68	17301.68	401	191	4187	4190	15	323	43964.43
4000	26569.68	17302.68	379	172	4158	4162	15	321	43964.43
4100	26569.68	17303.31	366	171	4142	4137	15	313	43964.43
4200	26569.68	17303.89	364	168	4116	4116	15	307	43964.43
4300	26569.68	17304.48	361	168	4094	4089	15	300	43964.43
4400	26569.68	17305.03	358	167	4076	4064	15	292	43964.43
4500	26569.68	17305.51	355	167	4055	4043	15	289	43964.43
4600	26569.68	17306.05	351	166	4038	4014	15	286	43964.43
4700	26569.68	17306.66	349	161	4015	3992	15	277	43964.43
4800	26569.68	17307.21	348	159	3987	3973	15	272	43964.43
4900	26569.68	17307.92	343	156	3959	3943	15	267	43964.43
